"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"8687","27-11-21 15:00","Italy","Serie A","2021/2022","Empoli","Fiorentina","2","1","H","0","0","D","2","1","H"
"8688","27-11-21 15:00","Italy","Serie A","2021/2022","Sampdoria","Verona","3","1","H","0","1","A","3","0","H"
"8689","26-11-21 20:45","Italy","Serie A","2021/2022","Cagliari","Salernitana","1","1","D","0","0","D","1","1","D"
"8690","22-11-21 20:45","Italy","Serie A","2021/2022","Torino","Udinese","2","1","H","1","0","H","1","1","D"
"8691","22-11-21 18:30","Italy","Serie A","2021/2022","Verona","Empoli","2","1","H","0","0","D","2","1","H"
"8692","21-11-21 20:45","Italy","Serie A","2021/2022","Genoa","AS Roma","0","2","A","0","0","D","0","2","A"
"8693","21-11-21 18:00","Italy","Serie A","2021/2022","Inter","Napoli","3","2","H","2","1","H","1","1","D"
"8694","21-11-21 15:00","Italy","Serie A","2021/2022","Bologna","Venezia","0","1","A","0","0","D","0","1","A"
"8695","21-11-21 15:00","Italy","Serie A","2021/2022","Salernitana","Sampdoria","0","2","A","0","2","A","0","0","D"
"8696","21-11-21 12:30","Italy","Serie A","2021/2022","Sassuolo","Cagliari","2","2","D","1","1","D","1","1","D"
"8697","20-11-21 20:45","Italy","Serie A","2021/2022","Fiorentina","AC Milan","4","3","H","2","0","H","2","3","A"
"8698","20-11-21 18:00","Italy","Serie A","2021/2022","Lazio","Juventus","0","2","A","0","1","A","0","1","A"
"8699","20-11-21 15:00","Italy","Serie A","2021/2022","Atalanta","Spezia","5","2","H","3","1","H","2","1","H"
"8700","07-11-21 20:45","Italy","Serie A","2021/2022","AC Milan","Inter","1","1","D","1","1","D","0","0","D"
"8701","07-11-21 18:00","Italy","Serie A","2021/2022","Lazio","Salernitana","3","0","H","2","0","H","1","0","H"
"8702","07-11-21 18:00","Italy","Serie A","2021/2022","Napoli","Verona","1","1","D","1","1","D","0","0","D"
"8703","07-11-21 15:00","Italy","Serie A","2021/2022","Sampdoria","Bologna","1","2","A","0","0","D","1","2","A"
"8704","07-11-21 15:00","Italy","Serie A","2021/2022","Udinese","Sassuolo","3","2","H","2","2","D","1","0","H"
"8705","07-11-21 12:30","Italy","Serie A","2021/2022","Venezia","AS Roma","3","2","H","1","2","A","2","0","H"
"8706","06-11-21 20:45","Italy","Serie A","2021/2022","Cagliari","Atalanta","1","2","A","1","2","A","0","0","D"
"8707","06-11-21 18:00","Italy","Serie A","2021/2022","Juventus","Fiorentina","1","0","H","0","0","D","1","0","H"
"8708","06-11-21 15:00","Italy","Serie A","2021/2022","Spezia","Torino","1","0","H","0","0","D","1","0","H"
"8709","05-11-21 20:45","Italy","Serie A","2021/2022","Empoli","Genoa","2","2","D","0","1","A","2","1","H"
"8710","01-11-21 20:45","Italy","Serie A","2021/2022","Bologna","Cagliari","2","0","H","0","0","D","2","0","H"
"8711","31-10-21 20:45","Italy","Serie A","2021/2022","AS Roma","AC Milan","1","2","A","0","1","A","1","1","D"
"8712","31-10-21 18:00","Italy","Serie A","2021/2022","Salernitana","Napoli","0","1","A","0","0","D","0","1","A"
"8713","31-10-21 15:00","Italy","Serie A","2021/2022","Fiorentina","Spezia","3","0","H","1","0","H","2","0","H"
"8714","31-10-21 15:00","Italy","Serie A","2021/2022","Genoa","Venezia","0","0","D","0","0","D","0","0","D"
"8715","31-10-21 15:00","Italy","Serie A","2021/2022","Sassuolo","Empoli","1","2","A","1","0","H","0","2","A"
"8716","31-10-21 12:30","Italy","Serie A","2021/2022","Inter","Udinese","2","0","H","0","0","D","2","0","H"
"8717","30-10-21 20:45","Italy","Serie A","2021/2022","Torino","Sampdoria","3","0","H","1","0","H","2","0","H"
"8718","30-10-21 18:00","Italy","Serie A","2021/2022","Verona","Juventus","2","1","H","2","0","H","0","1","A"
"8719","30-10-21 15:00","Italy","Serie A","2021/2022","Atalanta","Lazio","2","2","D","1","1","D","1","1","D"
"8720","28-10-21 20:45","Italy","Serie A","2021/2022","Napoli","Bologna","3","0","H","2","0","H","1","0","H"
"8721","27-10-21 20:45","Italy","Serie A","2021/2022","Cagliari","AS Roma","1","2","A","0","0","D","1","2","A"
"8722","27-10-21 20:45","Italy","Serie A","2021/2022","Empoli","Inter","0","2","A","0","1","A","0","1","A"
"8723","27-10-21 20:45","Italy","Serie A","2021/2022","Lazio","Fiorentina","1","0","H","0","0","D","1","0","H"
