"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"13936","06-04-25 21:00","Spain","LaLiga","2024/2025","Villarreal","Ath Bilbao","2.41","3.36","3.14","1.05","11.60","1.27","3.95","1.90","2.01","3.09","1.39","6.23","1.14","1.68","2.18"
"13937","06-04-25 18:30","Spain","LaLiga","2024/2025","Valladolid","Getafe","4.61","3.17","2.01","1.13","6.32","1.56","2.50","2.73","1.48","5.15","1.18","11.90","1.05","2.16","1.70"
"13938","06-04-25 16:15","Spain","LaLiga","2024/2025","Sevilla","Atl. Madrid","3.77","3.24","2.19","1.09","8.42","1.44","2.90","2.26","1.67","4.26","1.24","8.82","1.08","1.90","1.90"
"13939","06-04-25 14:00","Spain","LaLiga","2024/2025","Las Palmas","Real Sociedad","3.17","3.35","2.49","1.03","8.10","1.33","3.08","2.18","1.80","3.64","1.25","7.00","1.05","1.80","1.96"
"13940","05-04-25 21:00","Spain","LaLiga","2024/2025","Barcelona","Betis","1.38","5.95","7.08","1.01","28.00","1.12","6.84","1.34","3.37","1.90","2.01","2.91","1.43","1.57","2.41"
"13941","05-04-25 18:30","Spain","LaLiga","2024/2025","Mallorca","Celta Vigo","2.92","3.16","2.69","1.09","8.42","1.38","3.16","2.26","1.67","4.26","1.24","8.82","1.08","1.90","1.90"
"13942","05-04-25 16:15","Spain","LaLiga","2024/2025","Real Madrid","Valencia","1.30","6.42","9.54","1.01","22.00","1.13","6.32","1.44","2.90","2.14","1.80","3.27","1.36","1.72","2.12"
"13943","05-04-25 14:00","Spain","LaLiga","2024/2025","Girona","Alaves","2.06","3.50","3.85","1.09","8.42","1.38","3.16","2.24","1.73","3.94","1.27","8.05","1.09","1.90","1.90"
"13944","04-04-25 21:00","Spain","LaLiga","2024/2025","Rayo Vallecano","Espanyol","1.71","3.59","5.92","1.10","7.37","1.47","2.77","2.45","1.58","4.57","1.22","9.52","1.07","2.20","1.67"
"13945","31-03-25 21:00","Spain","LaLiga","2024/2025","Celta Vigo","Las Palmas","1.59","4.19","6.13","1.05","11.60","1.27","3.95","1.90","2.01","3.27","1.36","6.23","1.14","1.90","1.90"
"13946","30-03-25 21:00","Spain","LaLiga","2024/2025","Betis","Sevilla","1.77","3.59","5.34","1.09","8.42","1.38","3.16","2.24","1.73","4.26","1.24","8.82","1.08","2.00","1.82"
"13947","30-03-25 18:30","Spain","LaLiga","2024/2025","Ath Bilbao","Osasuna","1.54","4.15","7.25","1.06","10.00","1.32","3.50","1.99","1.91","3.43","1.34","6.54","1.13","1.96","1.85"
"13948","30-03-25 18:30","Spain","LaLiga","2024/2025","Valencia","Mallorca","2.04","3.28","4.27","1.12","6.84","1.47","2.77","2.45","1.58","5.15","1.18","10.70","1.06","2.06","1.76"
"13949","30-03-25 16:15","Spain","LaLiga","2024/2025","Barcelona","Girona","1.32","6.13","9.14","1.02","26.00","1.13","6.32","1.38","3.16","2.03","1.88","3.27","1.36","1.68","2.18"
"13950","30-03-25 14:00","Spain","LaLiga","2024/2025","Getafe","Villarreal","3.42","3.18","2.37","1.10","7.37","1.44","2.90","2.26","1.67","4.26","1.24","9.52","1.01","1.90","1.90"
