"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"74219","01-11-25 14:00","Spain","LaLiga","2025/2026","Villarreal","Rayo Vallecano","1.76","3.89","4.86","1.02","15.00","1.21","4.50","1.69","2.20","2.63","1.50","4.68","1.20","1.60","2.34"
"74150","31-10-25 21:00","Spain","LaLiga","2025/2026","Getafe","Girona","2.17","3.10","4.03","1.13","6.32","1.50","2.63","2.50","1.54","5.01","1.18","10.10","1.06","2.06","1.76"
"70024","27-10-25 21:00","Spain","LaLiga","2025/2026","Betis","Atl. Madrid","3.55","3.59","2.13","1.04","11.60","1.26","3.95","1.88","2.01","3.03","1.39","6.02","1.14","1.67","2.21"
"69168","26-10-25 21:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Alaves","2.22","3.07","3.92","1.12","6.50","1.54","2.50","2.63","1.50","5.26","1.17","10.60","1.05","2.06","1.76"
"69169","26-10-25 18:30","Spain","LaLiga","2025/2026","Osasuna","Celta Vigo","2.40","3.26","3.26","1.09","8.00","1.40","3.00","2.32","1.67","4.05","1.25","8.08","1.09","1.83","1.98"
"69170","26-10-25 16:15","Spain","LaLiga","2025/2026","Real Madrid","Barcelona","1.94","4.43","3.48","1.01","29.00","1.06","9.47","1.26","3.95","1.63","2.32","2.41","1.58","1.28","3.68"
"69171","26-10-25 14:00","Spain","LaLiga","2025/2026","Mallorca","Levante","1.96","3.60","4.11","1.06","10.00","1.31","3.50","2.10","1.80","3.60","1.30","6.80","1.11","1.76","2.06"
"67680","25-10-25 21:00","Spain","LaLiga","2025/2026","Valencia","Villarreal","3.83","3.64","2.02","1.04","11.60","1.24","4.21","1.80","2.10","3.03","1.39","5.53","1.15","1.68","2.18"
"67681","25-10-25 18:30","Spain","LaLiga","2025/2026","Ath Bilbao","Getafe","1.67","3.59","6.48","1.14","6.00","1.60","2.38","2.63","1.50","5.26","1.17","10.60","1.05","2.41","1.57"
"67682","25-10-25 16:15","Spain","LaLiga","2025/2026","Espanyol","Elche","1.99","3.46","4.18","1.09","8.00","1.36","3.20","2.21","1.73","4.05","1.25","8.08","1.09","1.90","1.90"
"67683","25-10-25 14:00","Spain","LaLiga","2025/2026","Girona","R. Oviedo","1.73","3.66","5.61","1.07","9.00","1.33","3.40","2.10","1.80","3.60","1.30","6.80","1.11","1.83","1.98"
"67362","24-10-25 21:00","Spain","LaLiga","2025/2026","Real Sociedad","Sevilla","2.03","3.62","3.84","1.05","10.50","1.29","3.68","2.01","1.88","3.21","1.36","6.48","1.12","1.76","2.06"
"67303","20-10-25 21:00","Spain","LaLiga","2025/2026","Alaves","Valencia","2.13","3.18","4.04","1.10","7.37","1.37","3.16","2.23","1.68","4.16","1.24","8.40","1.08","1.90","1.90"
"67234","19-10-25 21:00","Spain","LaLiga","2025/2026","Getafe","Real Madrid","7.62","4.60","1.46","1.04","11.60","1.29","3.68","1.88","2.01","3.21","1.36","6.48","1.12","2.06","1.76"
